Recipe Name;Energy;Fat;Sodium;Carbs;Fiber;Protein
Allen’s Rice Cakes;225 cal;8 g;321 mg;30 g;1 g;9 g
Pasta and Herb Soup;398 cal;12 g;1,334 mg;53 g;7 g;21 g
Pico de Gallo;37 cal;0 g;302 mg;10 g;4 g;2 g
Basmati Rice;320 cal;0 g;1,163 mg;70 g;2 g;8 g
Steak and Eggplant Salad;453 cal;11 g;296 mg;48 g;5 g;40 g
White Beans and Chicken;425 cal;4 g;1,750 mg;38 g;7 g;39 g
Fig and Honey Rice Cakes;268 cal;10 g;20 mg;41 g;3 g;6 g
Savory Bread Pudding;174 cal;12 g;149 mg;9 g;2 g;7 g
Pizza Dough;200 cal;4 g;292 mg;36 g;1 g;5 g
Chocolate and Balsamic Vinegar;33 cal;1 g;1 mg;7 g;0 g;0 g
Meatball Sliders;453 cal;20 g;983 mg;52 g;5 g;25 g
Pie Crust;305 cal;16 g;149 mg;36 g;5 g;5 g
Spiced Black Beans;329 cal;15 g;903 mg;75 g;14 g;15 g
Quinoa and Vegetable Hash with Eggs;725 cal;26 g;830 mg;101 g;11 g;25 g
Lamb and Chickpea Stew;750 cal;35 g;768 mg;36 g;10 g;71 g
Chocolate Peanut Coconut Rice Cakes;323 cal;14 g;700 mg;44 g;3 g;6 g
Wine and Soy Mushrooms;317 cal;12 g;733 mg;39 g;3 g;9 g
Bacon Dressing;92 cal;9 g;80 mg;1 g;0 g;1 g
Dry Beans;226 cal;1 g;280 mg;40 g;13 g;16 g
Chicken Sausage Rice Cakes;228 cal;5 g;343 mg;33 g;1 g;11 g
Almond and Date Rice Cakes;234 cal;6 g;349 mg;41 g;3 g;5 g
Potato Cakes;268 cal;10 g;264 mg;36 g;3 g;9 g
Cilantro Chutney;70 cal;7 g;160 mg;8 g;1 g;1 g
Angel Food Cake;144 cal;0 g;297 mg;28 g;1 g;7 g
Bison with Spice Rub;389 cal;11 g;598 mg;2 g;0 g;67 g
Romesco;99 cal;6 g;91 mg;9 g;1 g;3 g
Chicken Tacos;274 cal;2 g;244 mg;24 g;1 g;36 g
Sweet Rice Porridge;405 cal;7 g;173 mg;71 g;3 g;16 g
Chocolate Bread Pudding;215 cal;11 g;94 mg;23 g;1 g;4 g
Pizza with Tomatoes and Basil;243 cal;6 g;361 mg;38 g;2 g;9 g
Summer Melon Soup;87 cal;0 g;53 mg;19 g;1 g;7 g
Red Pepper Mayonnaise;49 cal;5 g;36 mg;1 g;0 g;1 g
Pasta Salad with Olives and Beets;607 cal;16 g;551 mg;112 g;13 g;10 g
Garden Fresh Tomato Soup;66 cal;1 g;163 mg;13 g;3 g;2 g
Dijon Sauce with Yogurt;51 cal;4 g;186 mg;2 g;0 g;1 g
Ham and Swiss Sandwich;525 cal;19 g;915 mg;63 g;5 g;24 g
White Bean Salad;459 cal;15 g;719 mg;64 g;7 g;18 g
Chimichurri;124 cal;14 g;73 mg;2 g;0 g;0 g
Simple Biryani;451 cal;15 g;196 mg;72 g;9 g;11 g
Flourless Chocolate Cake;439 cal;30 g;152 mg;32 g;0 g;5 g
Peach Chutney;106 cal;0 g;776 mg;27 g;2 g;1 g
Crushed Potatoes;480 cal;21 g;192 mg;70 g;10 g;9 g
Orange Almond Macaroons;131 cal;9 g;15 mg;11 g;2 g;3 g
Millet Salad;450 cal;13 g;722 mg;79 g;7 g;13 g
Pan-Seared Steak;629 cal;20 g;1,085 mg;66 g;4 g;44 g
Bacon Muffins;126 cal;3 g;300 mg;22 g;0 g;5 g
Quinoa Salad;535 cal;31 g;610 mg;53 g;12 g;15 g
Tuna and Broccoli with Noodles;665 cal;13 g;672 mg;88 g;7 g;48 g
Raisin-Mango Relish;82 cal;0 g;171 mg;20 g;0 g;0 g
Quinoa and Berries;426 cal;6 g;356 mg;78 g;7 g;18 g
Orange Jalapeno Jam;106 cal;5 g;97 mg;17 g;0 g;0 g
Tomato Jam;136 cal;0 g;15 mg;34 g;2 g;1 g
Orzo with Dried Fruit;242 cal;5 g;182 mg;88 g;3 g;12 g
Cilantro-Mint Yogurt;57 cal;2 g;19 mg;8 g;0 g;3 g
Couscous with Currants;500 cal;15 g;468 mg;75 g;6 g;16 g
Pasta and Eggs;560 cal;16 g;432 mg;78 g;12 g;28 g
Pork Loin with Chutney;426 cal;17 g;1,221 mg;40 g;3 g;30 g
Angel Hair with Bacon and Sweet Corn;679 cal;20 g;969 mg;108 g;7 g;23 g
Orange Maple Vinaigrette;122 cal;9 g;98 mg;65 g;0 g;0 g
Quinoa;185 cal;5 g;146 mg;30 g;3 g;7 g
Chicken and Bacon Hash;481 cal;11 g;603 mg;51 g;4 g;44 g
Spicy Cabbage Slaw;10 cal;0 g;583 mg;3 g;1 g;1 g
Cashew and Bacon Rice Cakes;286 cal;14 g;246 mg;31 g;1 g;10 g
Toasted Nut Mix;137 cal;11 g;3 mg;9 g;2 g;5 g
Lemon and Herb Salmon;132 cal;4 g;213 mg;2 g;1 g;23 g
Tomatoes on Toast;252 cal;6 g;433 mg;90 g;5 g;7 g
Savory Bread Cakes;141 cal;6 g;307 mg;11 g;1 g;9 g
Breakfast Tacos;268 cal;13 g;459 mg;23 g;4 g;15 g
Bitter Greens;9 cal;0 g;646 mg;2 g;1 g;1 g
Ham and Cheese Burritos;445 cal;13 g;688 mg;64 g;4 g;18 g
Polenta;170 cal;8 g;302 mg;24 g;3 g;3 g
Fruit and Ginger Cream;224 cal;23 g;24 mg;4 g;0 g;0 g